Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,BXP,0,0,0,0,14410000000.0,27440000000.0,26.35,28.74,4.36,4.92,2.47,9.37,15.1,18.8,34.55,2.81,8.32,2910000000.0,18.64,6.7,1830000000.0,1710000000.0,547650000.0,3.49,42.2,436270000.0,2.78,13460000000.0,167.38,3.53,37.29,1200000000.0,1290000000.0,1.1,106.52,115.28,1360000.0,156710000.0,144630000.0,0.19,103.45,6520000.0,7.11,5.62,5680000.0
0,0,C,0,0,0,0,92880000000.0,,5.6,7.03,,1.35,0.52,,,25.17,30.82,0.78,9.15,72760000000.0,36.28,-10.5,74990000000.0,,17170000000.000002,8.54,-45.8,956890000000.0,492.75,558790000000.0,,,92.03,24510000000.0,,1.61,49.6,60.02,24310000.0,1940000000.0,1880000000.0,0.21,76.03,47480000.0,1.96,2.45,42150000.0
0,0,CA,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CAB,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CAG,0,0,0,0,16290000000.0,25370000000.0,15.79,13.33,2.11,1.44,1.86,2.23,13.6,9.14,15.1,4.81,12.11,11370000000.0,23.66,5.1,3220000000.0,2049999999.9999998,1040000000.0,2.15,-22.4,79700000.0,0.17,9160000000.0,103.44,0.83,18.28,1150000000.0,619940000.0,0.68,33.82,33.62,4340000.0,479880000.0,477470000.0,0.4,87.02,15390000.0,3.82,4.34,13070000.0
0,0,CAH,0,0,0,0,14950000000.0,18200000000.0,,10.1,0.53,0.09,,0.1,79.14,-0.54,0.98,2.53,-173.3,176850000000.0,624.9,14.2,6970000000.0,2430000000.0,-955000000.0,-3.38,,2360000000.0,8.65,5610000000.0,,1.08,-2.55,795000000.0,2280000000.0,0.83,55.74,53.01,2600000.0,272430000.0,271690000.0,0.44,89.7,7690000.0,3.67,3.26,6770000.0
0,0,CAM,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CAMP,0,0,0,0,168130000.0,355440000.0,,62.11,5.17,0.59,5.88,1.27,-786.38,-13.61,-7.45,-3.29,-60.04,280890000.0,7.92,-18.8,121890000.0,1910000.0,-37320000.0,-0.794,,59040000.0,1.63,246350000.0,861.7,1.97,0.79,-19850000.0,-3500000.0,2.28,5.935,7.5894,1380000.0,36160000.0,28810000.0,4.38,89.58,2430000.0,9.14,8.03,2380000.0
0,0,CAT,0,0,0,0,100060000000.0,131110000000.00002,15.74,15.06,1.49,1.95,5.86,2.49,11.94,12.33,15.6,6.3,38.55,52670000000.0,97.36,14.3,13190000000.0,10460000000.0,6500000000.0,11.92,0.5,6470000000.0,12.14,37580000000.0,219.83,1.44,32.0,5580000000.0,4760000000.0,0.93,207.24,206.46,3240000.0,533370000.0,532049999.99999994,0.23,70.65,5680000.0,2.01,1.07,4970000.0
0,0,CB,0,0,0,0,82370000000.0,99900000000.0,10.35,12.8,4.57,2.09,1.45,2.46,,20.22,18.99,2.47,14.19,40620000000.0,93.64,-3.4,11440000000.0,8000000000.0,8210000000.000001,18.79,-14.2,5140000000.0,12.13,20040000000.0,35.35,0.34,133.82,11480000000.0,9360000000.0,0.74,203.97,197.71,1790000.0,423710000.0,421410000.0,0.51,91.02,2430000.0,1.34,0.58,2260000.0
